student_id,student_name,student_surname,student_gpa,student_class,student_grade
200501118,Bedi,Korutürk,3.92,4,98.0
200501110,Semrin,Akar,3.8,1,95.0
200501130,Mucahit,Bilgin,3.8,3,95.0
200501119,Belkize,Akçay,3.66,2,91.5
200501126,Görsev,Hançer,3.66,1,91.5
200501122,Süleyla,İhsanoğlu,3.64,3,91.0
200501127,İlkbahar,Eraslan,3.6,4,90.0
200501113,Sökmen,Ergül,3.59,1,89.75
200501131,Kardelen,Bilir,3.52,1,88.0
200501136,Muvaffak,İhsanoğlu,3.14,3,78.5
200501116,Şüküfe,Çorlu,3.1,2,77.5
200501137,Dilhuş,Tarhan,3.1,2,77.5
200501114,Savni,Yıldırım,2.99,2,74.75
200501124,Tolonbay,Akçay,2.62,1,65.5
200501115,Okanay,Gül,2.59,2,64.75
200501125,Mücevher,Bilir,2.52,3,63.0
200501121,Mishat,Şafak,2.51,2,62.75
200501129,Meryeme,Öcalan,2.5,1,62.5
200501128,Tali,Öcalan,2.49,1,62.25
200501123,Binbaşar,Akar,2.42,4,60.5
200501132,Gilman,Yorulmaz,2.34,2,58.5
200501135,Hariz,Gülen,2.33,1,58.25
200501120,Sevginur,Akgündüz,2.31,2,57.75
200501134,Okgüçlü,Gül,2.29,1,57.25
200501111,Nades,Sezer,2.27,1,56.75
